ID,year,author,bad_num,bad_diacritic,bad_sentence_raw,bad_sentence,bad_gloss,bad_translation,good_num,good_diacritic,good_sentence_raw,good_sentence,good_gloss,good_translation,type,phenomenon,phenomenon-2,paradigm
33,2006,tenny,9,*,メアリーは暑かったよ。,メアリーは暑かったよ。,Top hot-Past-YO,‘Mary was hot -YO.’,,,,私は暑かったよ。,I Top hot-Past-YO,I was hot -YO.',acceptability,verbal agreement,,person constraint
34,2006,tenny,22,*,彼は水が飲みたい。,彼は水が飲みたい。,He Top water S.M. drink -Desid-Nonpast,‘He wants to drink water.’,21,g,私は水が飲みたい。,私は水が飲みたい。,I Top water S.M. drink -Desid-Nonpast,‘I want to drink water.’,acceptability,verbal agreement,,person constraint
35,2006,tenny,56,*,私は寒がっているよ。,私は寒がっているよ。,I- Top cold-GARU-Pres -YO,‘I (appear to be) cold’,,,,彼女は寒がっているよ。,she-Top cold-GARU-Pres-YO,She (appears to be) cold.',acceptability,verbal agreement,,person constraint
36,2006,tenny,57,*,私は寒がっていますか？,私は寒がっていますか？,I- Top cold-GARU-Pres -KA,‘Do I (appear to be) cold’,,,,彼女は寒がっていますか？,she-Top cold-GARU-PRES-KA,Does she (appear to be) cold?',acceptability,verbal agreement,,person constraint
37,2006,tenny,58,*,あなたは寒がっていますよ。,あなたは寒がっていますよ。,you- Top cold-GARU-Pres -YO,‘You (appear to be) cold’,,,,彼女は寒がっていますよ。,she-Top cold-GARU-Pres-YO,She (appears to be) cold.',acceptability,verbal agreement,,person constraint
38,2006,tenny,59,*,あなたは寒がっていますか？,あなたは寒がっていますか？,you- Top cold-GARU-Pres -KA,‘Do you (appear to be) cold?’,,,,彼女は寒がっていますか？,she-Top cold-GARU-Pres-KA,Does she (appear to be) cold?',acceptability,verbal agreement,,person constraint
39,2006,tenny,69,*,隆史は良子が自分を訪ねていったので嬉しがった。,隆史は良子が自分を訪ねていったので嬉しがった。,Takasi Top [Yosiko Subj self Obj visit-went because] happy,‘Takasi was happy because Yosiko went to visit him’,68,g,,隆史は良子が自分を訪ねてきたので嬉しがった。,Takasi Top [Yosiko Subj self Obj visit-came because] happy,‘Takasi was happy because Yosiko came to visit him’,coreference,binding,,anaphor
40,2007,bobaljik & wurmbrand,5bii,*,太郎がプールで1時間で泳いだ。,太郎がプールで1時間で泳いだ。,Taro-Nom pool-in 1-hour-in swim-Pst,‘Taro swam in the pool in one hour.’,5bi,g,太郎がプールで1時間泳いだ。,太郎がプールで1時間泳いだ。,Taro-Nom pool-in 1-hour swim-Pst,‘Taro swam in the pool for one hour.’,acceptability,argument structure,,aspect
41,2007,Ivana & sakai,20,*,山田先生はこの本をなったことはお読みだ。,山田先生はこの本をなったことはお読みだ。,Professor Yamada Top this book Acc become Past fact Top Hon read Ren Cop,‘The thing that Professor Yamada did was read this book.’ (intended),,,,山田先生はこの本をお読みになった。,Professor Yamada Top this book Acc Hon read Ren Obl become Past,Professor Yamada read this book.',acceptability,filler-gap,,relative clause
42,2007,Ivana & sakai,22,*,山田先生がなったのはこの本のお読みだ。,山田先生がなったのはこの本のお読みだ。,Professor Yamada Nom become Nz Top this book Acc Hon read Ren Cop,‘What Professor Yamada did was to read this book.’ (intended),,,,山田先生がこの本をお読みになった。,Professor Yamada Top this book Acc Hon read Ren Obl become Past,Professor Yamada read this book.',acceptability,filler-gap,,cleft
43,2007,Ivana & sakai,24,*,A: 山田さんは吉田さんのことが心配になった。 B: 田中さんもなった。,山田さんは吉田さんのことが心配になり、田中さんもなった。,A: Mr Yamada Top Ms Yoshida Gen matter Nom worry Obl become Past B: Mr Tanaka too become Past,‘Mr Yamada is worried about Ms Yoshida.’ ‘Mr Tanaka is worried too.’,,,,山田さんは吉田さんのことが心配になり、田中さんも心配になった。,Mr Yamada Top Ms Yoshida Gen matter Nom worry Obl become Mr Tanaka too worry Obl become Past,‘Mr Yamada is worried about Ms Yoshida and Mr Tanaka is worried too.’,interpretation,ellipsis,,nominal ellipsis
44,2007,Ivana & sakai,25,*,太郎が驚愕した。直子もした。,太郎が驚愕して、直子もした。,Taroo Nom fright do Past Naoko too do Past,‘Taroo was frightened. So was Naoko.’,,,,太郎が驚愕して、直子も驚愕した。,Taroo Nom fright do Past and Naoko too do Past,‘Taroo was frightened and Naoko did too.’,acceptability,ellipsis,,nominal ellipsis
45,2007,Ivana & sakai,26,*,明子が気絶した。直子もした。,明子が気絶して、直子もした。,Akiko Nom faint do Past Naoko too do Past,"‘Akiko fainted. Naoko fainted, too.’",,,,明子が気絶して、直子も気絶した。,Akiko Nom faint do Past and Naoko too do Past,‘Akiko fainted and Naoko fainted too.’,acceptability,ellipsis,,nominal ellipsis
46,2007,Ivana & sakai,27,*,太郎がしたのは驚愕だ。,太郎がしたのは驚愕だ。,Taroo Nom do Past Nz Top fright Cop,‘What Taroo did was to be frightened.’,,,,太郎が驚愕した。,Taro Nom fright do Past,Taro frightened.',acceptability,filler-gap,,cleft
47,2007,Ivana & sakai,28,*,直美がしたのは驚愕ではなく、興奮だ。,直美がしたのは驚愕ではなく、興奮だ。,Naomi Nom do Past Nz Top fright Cop Top Neg excitement Cop,"‘What Naomi did was to get excited, not frightened.’",,,,直美は驚愕ではなく、興奮した。,Naomi Top fright Cop Top Neg excitement do Past,"‘Naomi got excited, not frightened.’",acceptability,filler-gap,,cleft
48,2007,Ivana & sakai,34,*,子供そう。,子供そう。,child seem,‘seem childish/to be a child’,32,g,食べそう。,食べそう。,eat Ren seem,‘seem to eat’,lexical,morphology,,part of speech
49,2007,Ivana & sakai,34,*,子供そう。,子供そう。,Hon eat Ren seem,‘seem to eat’,33,g,美味しそう。,美味しそう。,tasty Ren seem,‘seem tasty’,lexical,morphology,,part of speech
50,2007,Ivana & sakai,35,*,お食べそう。,お食べそう。,,,32,g,食べそう。,食べそう。,eat Ren seem,‘seem to eat’,lexical,morphology,,part of speech
51,2007,Ivana & sakai,35,*,お食べそう。,お食べそう。,,,33,g,美味しそう。,美味しそう。,tasty Ren seem,‘seem tasty’,lexical,morphology,,part of speech
52,2007,Ivana & sakai,36ii,*,先生が早いお帰りになった。,先生が早いお帰りになった。,Professor Nom early Hon go home Ren Obl become Past,‘The Professor went home early.’,36i,g,先生が早くお帰りになった。,先生が早くお帰りになった。,Professor Nom early Hon go home Ren Obl become Past,‘The Professor went home early.’,acceptability,morphology,,part of speech
53,2007,Ivana & sakai,37ii,*,私が先生のお助けした。,私が先生のお助けした。,I Nom professor Gen Hon help Ren do Past,‘I helped the professor.’,37i,g,私が先生をお助けした。,私が先生をお助けした。,I Nom professor Acc Hon help Ren do Past,‘I helped the professor.’,acceptability,argument structure,,case
54,2008,kishimoto,5a,???,太郎は口に思ったことを出す。,太郎は口に思ったことを出す。,Taro-Top mouth-Dat thought thing-Acc let.out-Pres,,4a,g,太郎は思ったことを口に出す。,太郎は思ったことを口に出す。,Taro-Top thought thing-Acc mouth-Dat let.out-Pres,‘Taro says what’s on his mind.’,interpretation,argument structure,,scrambling
55,2008,kishimoto,5b,*,太郎は鼻に才能をかけている。,太郎は鼻に才能をかけている。,Taro-Top nose-Dat talent-Acc hanging-be-Pres,,4b,g,太郎は才能を鼻にかけている。,太郎は才能を鼻にかけている。,Taro-Top talent-Acc nose-Dat hanging-be-Pres,‘Taro boasts of his talent.’,interpretation,argument structure,,scrambling
56,2008,kishimoto,5c,*,太郎は手に車を入れた。,太郎は手に車を入れた。,Taro-Top hand-Dat car-Acc put.in-Past,,4c,g,太郎は車を手に入れた。,太郎は車を手に入れた。,Taro-Top car-Acc hand-Dat put.in-Past,‘Taro acquired a car.’,interpretation,argument structure,,scrambling
57,2008,kishimoto,5d,*,太郎はいつも棚に自分の失敗を上げる。,太郎はいつも棚に自分の失敗を上げる。,Taro-Top always shelf-Dat self-Gen mistake-Acc raise-Pres,,4d,g,太郎はいつも自分の失敗を棚に上げる。,太郎はいつも自分の失敗を棚に上げる。,Taro-Top always self-Gen mistake-Acc shelf-Dat raise-Pres,‘Taro always shuts his eyes to his own mistakes.’,interpretation,argument structure,,scrambling
58,2008,kishimoto,7a,*,太郎は口を人のことに出す。,太郎は口を人のことに出す。,Taro-Top moutch-Acc person-Gen business-Dat let.out-Pres,,6a,g,太郎は人のことに口を出す。,太郎は人のことに口を出す。,Taro-Top person-Gen business-Dat mouth-Acc let.out-Pres,‘Taro cuts in on someone else’s business.’,interpretation,argument structure,,scrambling
59,2008,kishimoto,7b,*,太郎は拍車をその議論にかけた。,太郎は拍車をその議論にかけた。,Taro-Top spur-Acc that-controversy-Dat hang-Past,,6b,g,太郎はその議論に拍車をかけた。,太郎はその議論に拍車をかけた。,Taro-Top that-controversy-Dat spur-Acc hang-Past,‘Taro added fresh fuel to the controversy.’,interpretation,argument structure,,scrambling
60,2008,kishimoto,7c,*,太郎は手を原稿に入れた。,太郎は手を原稿に入れた。,Taro-Top hand-Acc draft-Dat put.in-Past,,6c,g,太郎は原稿に手を入れた。,太郎は原稿に手を入れた。,Taro-Top draft-Dat hand-Acc put.in-Past,‘Taro revised the draft.’,interpretation,argument structure,,scrambling
61,2008,kishimoto,7d,*,太郎は血道を麻雀に上げた。,太郎は血道を麻雀に上げた。,Taro-Top blood-Acc mahjong-Dat raise-Past,,6d,g,太郎は麻雀に血道を上げた。,太郎は麻雀に血道を上げた。,Taro-Top mahjong-Dat blood-Acc raise-Past,‘Taro was obsessed with mahjong.’,interpretation,argument structure,,scrambling
62,2008,kishimoto,9ii,*,糠にも釘,太郎の忠告は花子には糠にも釘だった。,bran-Dat-also nai,‘of no use’,9i,g,糠に釘,太郎の忠告は花子には糠に釘だった。,bran-Dat nai,‘of no use’,lexical,morphology,,idiom
63,2008,kishimoto,9iv,*,暖簾には腕おし,太郎に何を言っても暖簾には腕押しだ。,shop.curtain-Dat-Top arm.push,‘useless’,9iii,g,暖簾に腕押し,太郎に何を言っても暖簾に腕押しだ。,shop.curtain-Dat arm.push,‘useless’,lexical,morphology,,idiom
64,2008,kishimoto,9vi,*,火には油を注ぐ。,太郎の発言が火には油を注いだ。,ﬁre-Dat-Top oil-Acc pour,‘make … worse’,9v,g,火に油を注ぐ。,太郎の発言が火に油を注いだ。,ﬁre-Dat oil-Acc pour,‘make … worse’,lexical,morphology,,idiom
65,2008,kishimoto,9viii,*,腕には縒りをかける。,太郎は腕には縒りをかけて料理を作った。,arm-Dat-also twist-Acc put.in,‘use the best skill’,9vii,g,腕によりをかける。,太郎は腕に縒りをかけて料理を作った。,arm-Dat twist-Acc put.in,‘use the best skill’,lexical,morphology,,idiom
66,2008,kishimoto,9x,*,爪には火を点す。,太郎は爪には火を点す生活をしている。,nail-Dat-Top ﬁre-Acc light,‘live a poor and miserable life’,9ix,g,爪に火を点す。,太郎は爪に火を点す生活をしている。,nail-Dat ﬁre-Acc light,‘live a poor and miserable life’,lexical,morphology,,idiom
67,2008,kishimoto,10i,*,目に目を,目に目を。,eye-Dat eye-Acc,‘an eye for an eye’,10ii,g,目には目を,目には目を。,eye-Dat-Top eye-Acc,‘an eye for an eye’,lexical,morphology,,idiom
68,2008,kishimoto,10iii,*,念に念を入れる。,念に念を入れる。,assurance-Dat assurance-Acc put,‘make double assurance’,10iv,g,念には念を入れる。,念には念を入れる。,assurance-Dat-Top assurance-Acc put,‘make double assurance’,lexical,morphology,,idiom
69,2008,kishimoto,10v,*,石の上に3年,石の上に3年。,stone-Gen top-Dat three-year,‘patience brings us a success’,10vi,g,石の上にも3年,石の上にも3年。,stone-Gen top-Dat-also three-year,‘patience brings us a success’,lexical,morphology,,idiom
70,2008,kishimoto,14bii,??,太郎が花子へお菓子を与えた。,太郎が花子へお菓子を与えた。,Taro-Nom Hanako-to sweets-Acc give-Past,‘Taro gave Hanako sweets.’,14bi,g,太郎が花子にお菓子を与えた。,太郎が花子にお菓子を与えた。,Taro-Nom Hanako-Dat sweets-Acc give-Past,‘Taro gave Hanako sweets.’,acceptability,argument structure,,case
71,2008,kishimoto,16aii,*,思ったことを口へ出す。,思ったことを口へ出す。,thought thing-Acc mouth-to let.out-Pres,‘say what’s on his mind’,16ai,g,思ったことを口に出す。,思ったことを口に出す。,thought thing-Acc mouth-Dat let.out-Pres,‘say what’s on his mind’,interpretation,argument structure,,case
72,2008,kishimoto,16bii,*,才能を鼻へかける。,才能を鼻へかける。,talent-Acc nose-to hang-Pres,‘boast of a talent’,16bi,g,才能を鼻にかける。,才能を鼻にかける。,talent-Acc nose-Dat hang-Pres,‘boast of a talent’,interpretation,argument structure,,case
73,2008,kishimoto,16cii,*,車を手へ入れる。,車を手へ入れる。,car-Acc hand-to put.in-Pres,‘acquire a car’,16ci,g,車を手に入れる。,車を手に入れる。,car-Acc hand-Dat put.in-Pres,‘acquire a car’,interpretation,argument structure,,case
74,2008,kishimoto,16dii,*,失敗を棚へ上げる。,失敗を棚へ上げる。,mistake-Acc shelf-to raise-Pres,‘shut eyes to mistakes’,16di,g,失敗を棚に上げる。,失敗を棚に上げる。,mistake-Acc shelf-Dat raise-Pres,‘shut eyes to mistakes’,interpretation,argument structure,,case
75,2008,kishimoto,23aii,?*,人のことに口の出しにくさ。,人のことに口の出しにくさが指摘された。,person-Gen business-Dat mouth-Gen let.out-difﬁcult-NL,‘the difﬁculty in cutting in on someone else’s business’,23ai,g,人のことへの口の出しにくさ。,人のことへの口の出しにくさが指摘された。,person-Gen business-to-Gen mouth-Gen let.out-difﬁcult-NL,‘the difﬁculty in cutting in on someone else’s business’,interpretation,argument structure,,case
76,2008,kishimoto,23bii,?*,そんな議論に拍車のかけにくさ。,そんな議論に拍車のかけにくさが指摘された。,that-controversy-Dat spur-Gen hang-difﬁcult-NL,‘the difﬁculty in adding fresh fuel to that controversy’,23bi,g,そんな議論への拍車のかけにくさ。,そんな議論への拍車のかけにくさが指摘された。,that-controversy-to-Gen spur-Gen hang-difﬁcult-NL,‘the difﬁculty in adding fresh fuel to that controversy’,interpretation,argument structure,,case
77,2008,kishimoto,23cii,?*,原稿に手の入れにくさ。,原稿に手の入れにくさが指摘された。,draft-Dat hand-Gen put.in-difﬁcult-NL,‘the difﬁculty in revising a draft’,23ci,g,原稿への手の入れにくさ。,原稿への手の入れにくさが指摘された。,draft-to-Gen hand-Gen put.in-difﬁcult-NL,‘the difﬁculty in revising a draft’,interpretation,argument structure,,case
78,2008,kishimoto,23dii,?*,麻雀に血道の上げやすさ。,麻雀に血道の上げやすさが指摘された。,mahjong-Dat blood-Gen raise-easy-NL,‘the easiness to be obsessed with mahjong’,23di,g,麻雀への血道の上げやすさ。,麻雀への血道の上げやすさが指摘された。,mahjong-to-Gen blood-Gen raise-easy-NL,‘the easiness to be obsessed with mahjong’,interpretation,argument structure,,case
79,2008,kishimoto,24a,?*,口の人のことへの出しにくさ。,口の人のことへの出しにくさが指摘された。,mouth-Gen person-Gen business-to-Gen let.out-difﬁcult-NL,,23ai,g,人のことへの口の出しにくさ。,人のことへの口の出しにくさが指摘された。,person-Gen business-to-Gen mouth-Gen let.out-difﬁcult-NL,‘the difﬁculty in cutting in on someone else’s business’,interpretation,argument structure,,scrambling
